"Round,Draw1,Draw2,Draw3,Draw4,Draw5,Sum"
"1020366,08,15,12,05,26,66"
"1020365,09,08,24,19,03,63"
"1020364,03,21,25,09,23,81"
"1020363,08,19,03,16,10,56"
"1020362,02,03,01,12,11,29"
"1020361,04,23,01,07,16,51"
"1020360,05,15,07,19,04,50"
"1020359,23,25,16,01,14,79"
"1020358,13,28,11,16,09,77"
"1020357,27,22,08,01,24,82"
"1020356,10,21,20,12,16,79"
"1020355,23,19,04,14,01,61"
"1020354,03,10,14,18,12,57"
"1020353,07,02,11,19,24,63"
"1020352,17,21,18,06,04,66"
"1020351,26,19,27,07,04,83"
"1020350,23,25,12,03,08,71"
"1020349,02,28,16,24,04,74"
"1020348,04,09,26,01,27,67"
"1020347,18,07,09,14,24,72"
"1020346,11,10,24,06,04,55"
"1020345,09,01,06,07,02,25"
"1020344,07,23,08,20,28,86"
"1020343,22,15,27,09,05,78"
"1020342,14,26,09,06,22,77"
"1020341,06,28,18,04,07,63"
"1020340,17,21,12,08,25,83"
"1020339,19,09,04,12,27,71"
"1020338,21,16,17,13,11,78"
"1020337,12,25,15,27,20,99"
"1020336,21,10,09,16,04,60"
"1020335,18,05,03,24,20,70"
"1020334,09,24,03,19,16,71"
"1020333,12,11,26,13,21,83"
"1020332,11,21,10,13,23,78"
"1020331,03,14,28,04,08,57"
"1020330,14,21,08,07,17,67"
"1020329,04,03,17,28,09,61"
"1020328,28,15,07,01,03,54"
"1020327,23,25,21,06,28,103"
"1020326,25,08,06,20,23,82"
"1020325,17,25,01,06,16,65"
"1020324,20,23,04,17,13,77"
"1020323,06,25,26,09,12,78"
